Company name,Segment,Type,Website,Growth stage,Launch year,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Total funding (AUD),Status,Sponsor visa available,Hires international students
1receipt,startup,big data;mobile app;machine learning;artificial intelligence;subscription;saas,https://www.1receipt.io,early stage,2019,2-10,fintech;marketing,Melbourne,"Victoria Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia","The first true contactless platform for issuing, collecting and managing shopping receipts",https://www.linkedin.com/company/1receipt/,https://ecosystem.innovationvictoria.com/companies/1receipt,1,205107,operational,,
2cloudnine,scaleup,big data;mobile app;subscription;saas,http://2cloudnine.com,breakout stage,2009,51-200,health;enterprise software,Melbourne,"40, Albert Road, 3205 Melbourne, Australia",Payroll and Billing applications built on Salesforce for Staffing and Healthcare Sectors,https://www.linkedin.com/company/2cloudnine/,https://ecosystem.innovationvictoria.com/companies/2cloudnine,3,7500001,operational,,
360BioLabs,scaleup,,https://www.360biolabs.com/,breakout stage,2015,51-200,health,Melbourne,"85, Commercial Road, 3004 Melbourne, Australia",360biolabs · Quality-assured virology and immunology services,https://www.linkedin.com/company/360biolabs/,https://ecosystem.innovationvictoria.com/companies/360biolabs,13,,acquired,,
776BC,scaleup,selling own inventory;manufacturing,http://776bc.com,early stage,2012,11-50,fashion;sports,Melbourne,"232 York Street, South Melbourne, VIC 3205, AU","Working with the world's best athletes to create a range of specialized performance kit that stands up to the toughest training programs to go further on the track, road, or water",https://www.linkedin.com/company/776bc/,https://ecosystem.innovationvictoria.com/companies/776bc,1,,operational,,
8squad,startup,subscription;saas,https://www.8squad.com.au,breakout stage,2019,51-200,marketing,Melbourne,"3006 Melbourne, Australia",A high calibre partner focused on its people and their high-performance commitment to delivering outstanding outcomes to customers,https://www.linkedin.com/company/8squad/,https://ecosystem.innovationvictoria.com/companies/8squad,2,,operational,,
Able Foods,startup,commission;marketplace & ecommerce,http://ablefoods.com.au,early stage,2019,11-50,food,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Ready-made meals for NDIS and aged care.,https://www.linkedin.com/company/able-foods/,https://ecosystem.innovationvictoria.com/companies/able_foods,1,,operational,,
Acorn Recruitment,,,https://acornbysynergie.com,breakout stage,1992,201-500,jobs recruitment,Melbourne,"3015 Melbourne, Australia",Multi-specialist recruitment firm placing people into work across the uk,https://www.linkedin.com/company/acorn-recruitment,https://ecosystem.innovationvictoria.com/companies/acorn_recruitment,5,,operational,,
Acquire AI,scaleup,selling own inventory;saas,http://acquire.ai,early stage,2006,2-10,enterprise software,Melbourne,"10 Queens Road, 10, Queens Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia","AI-driven BPO solutions offering end-to-end consultancy, design, and implementation with a vendor-agnostic model",https://www.linkedin.com/company/acquire-ai/,https://ecosystem.innovationvictoria.com/companies/acquire_1_1,75,,operational,,
Acusensus,startup,autonomous & sensor tech;artificial intelligence;selling own inventory;manufacturing,https://www.acusensus.com/,breakout stage,2018,51-200,transportation,Melbourne,"Nossal Institute, 333, Exhibition Street, Melbourne, Carlton, Melbourne, City of Melbourne, Victoria, 3000, Australia",AI-based traffic enforcement solutions,https://www.linkedin.com/company/acusensus/,https://ecosystem.innovationvictoria.com/companies/acusensus,12,69913,operational,,
Ada Engineering,startup,manufacturing,http://adaengineering.com.au,early stage,2021,2-10,transportation,Melbourne,"Flemington, Melbourne, City of Melbourne, Victoria, Australia",Specialising in Rolling Stock Engineering Managing Risk || Solving Problems || Telling Stories,https://www.linkedin.com/company/adaeng/,https://ecosystem.innovationvictoria.com/companies/ada_engineering,1,,operational,,
