Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
#gifted,New South Wales,startup,mobile app;subscription;marketplace & ecommerce,https://hashgifted.com,early stage,11-50,marketing,Sydney,"Sydney, Council of the City of Sydney, New South Wales, Australia",Marketplace linking brands to influencers,https://www.linkedin.com/company/hashtag-gifted/,https://nsw.dealroom.co/companies/_gifted,0,,
#Yolo ex,New South Wales,startup,marketplace & ecommerce,https://www.yoloex.io,early stage,,fintech,,"New South Wales, Australia",A financial market designed for the millennial investor,,https://nsw.dealroom.co/companies/_yolo_ex,0,,
'Portant,New South Wales,startup,subscription;saas,https://www.portant.co/,early stage,2-10,enterprise software,,"New South Wales, Australia",Portant - Automate the boring stuff,https://www.linkedin.com/company/portantai/,https://nsw.dealroom.co/companies/_portant,0,,
.Sydney,New South Wales,scaleup,,http://iconic.sydney,breakout stage,51-200,wellness beauty;marketing,Sydney,"2000 Sydney, New South Wales, Australia","Sydney, the city's new home online",https://www.linkedin.com/company/iconicsydney,https://nsw.dealroom.co/companies/_sydney,0,,
1 Digital Marketing Agency,New South Wales,scaleup,advertising;saas,http://1digitalmarketingagency.com.au,early stage,2-10,marketing,Sydney,"2153 Sydney, New South Wales, Australia","1 Digital Marketing Agency delivers web solutions that every business needs including web Design & Development, SEO, Social Media etc",https://www.linkedin.com/company/marketing-quotes-au,https://nsw.dealroom.co/companies/1_digital_marketing_agency,0,,
1 on 1 property,New South Wales,scaleup,commission;saas,http://1on1property.com,early stage,2-10,real estate,Newcastle-Maitland,"Waratah, Newcastle-Maitland, Newcastle City Council, New South Wales, 2298, Australia",Provides an expert and personalised service in both residential and commercial markets,https://www.linkedin.com/company/rainehorne-maitland-cameronpark/,https://nsw.dealroom.co/companies/1_on_1_property,0,,
1 Place Patent Attorneys & Solicitors,New South Wales,scaleup,,http://1p.com.au,early stage,2-10,,Sydney,"Sydney, New South Wales, Australia",,https://www.linkedin.com/company/1-place-patent-attorneys-&-solicitors/,https://nsw.dealroom.co/companies/1_place_patent_attorneys_solicitors,0,,
10 Travlr,New South Wales,scaleup,commission;saas,https://www.wandrtravel.com/,breakout stage,51-200,travel;enterprise software,Sydney,"Network Ten, 1, Saunders Street, Pyrmont, Sydney, Council of the City of Sydney, New South Wales, 2009, Australia","Pinterest for travel. An incredibly addictive platform to help you discover, plan and book your holiday in a growing number of locations",https://www.linkedin.com/company/10-travlr/,https://nsw.dealroom.co/companies/10_travlr,0,,
101 Tokens,New South Wales,startup,,http://101tokens.com,early stage,1,wellness beauty,Sydney,"2026 Sydney, New South Wales, Australia",,https://www.linkedin.com/company/101-tokens/,https://nsw.dealroom.co/companies/101_tokens,0,,
10seconds Software,New South Wales,scaleup,subscription;saas,http://10secondssoftware.com,early stage,2-10,enterprise software,Sydney,"Sydney, New South Wales, Australia",10seconds Software - SAP Mobile Approval solutions,https://www.linkedin.com/company/10-seconds-software/,https://nsw.dealroom.co/companies/10seconds_software,0,,
18POINT2,New South Wales,startup,advertising,https://www.18point2.com/,early stage,1,gaming,,"New South Wales, Australia",18POINT2 is one of Australia’s leading publishing partners of games products,https://www.linkedin.com/company/18point2-pty.-ltd./,https://nsw.dealroom.co/companies/18point2,0,,
1Ansah,New South Wales,scaleup,subscription;saas,http://1ansah.com,early stage,1,energy;transportation,Sydney,"2000 Sydney, New South Wales, Australia",LexX Technologies | Digital Intelligence for Maintenance,https://www.linkedin.com/company/1ansah/,https://nsw.dealroom.co/companies/1ansah,0,,
1connect,New South Wales,scaleup,mobile app;commission;saas,http://1connect.co,early stage,2-10,real estate,Sydney,"Sydney, New South Wales, Australia","Intermediary between busy professionals, business owners and executives and a range of services that help these people grow their business and achieve a higher level of success",https://www.linkedin.com/company/1connect-pty-ltd/,https://nsw.dealroom.co/companies/1connect,0,,
1d4 Pty,New South Wales,scaleup,,http://immortaloutdoors.com,early stage,,travel;sports,Sydney,"2000 Sydney, New South Wales, Australia",A website known as immortal outdoors,,https://nsw.dealroom.co/companies/1d4_pty,0,,
1Question,New South Wales,startup,subscription;saas,https://1question.app,early stage,2-10,media,,"New South Wales, Australia",AI-driven app integrating curriculum-aligned learning questions into children's screen time to enhance educational outcomes,https://www.linkedin.com/company/1question/,https://nsw.dealroom.co/companies/1question,0,,
1Scope,New South Wales,startup,subscription,http://1scope.com,early stage,2-10,event tech,Sydney,"2000 Sydney, New South Wales, Australia",Social enterprise devoted to developing students across australia,,https://nsw.dealroom.co/companies/1scope,0,,
1source,New South Wales,startup,subscription;saas,http://1source.global,early stage,2-10,jobs recruitment,Sydney,"2000 Sydney, New South Wales, Australia",1Source: Business Process Outsourcing (BPO) Service Provider,https://www.linkedin.com/company/1source-pty-ltd/,https://nsw.dealroom.co/companies/1source,0,,
